iter	Passed	Remaining
557	101413	80330
558	101579	80136
559	101759	79953
560	101921	79756
561	102078	79555
562	102228	79349
563	102377	79143
564	102538	78945
565	102692	78742
566	102853	78545
567	103019	78353
568	103184	78159
569	103349	77965
570	103505	77764
571	103672	77572
572	103828	77373
573	104000	77184
574	104160	76988
575	104324	76794
576	104480	76594
577	104660	76413
578	104826	76221
579	104983	76022
580	105135	75820
581	105280	75614
582	105440	75417
583	105628	75241
584	105779	75040
585	105942	74846
586	106110	74656
587	106286	74472
588	106451	74281
589	106611	74085
590	106776	73894
591	107012	73751
592	107219	73589
593	107433	73430
594	107633	73262
595	107825	73089
596	108010	72911
597	108231	72757
598	108424	72584
599	108641	72427
600	108857	72269
601	109051	72097
602	109251	71928
603	109431	71746
604	109616	71567
605	109774	71371
606	109932	71175
607	110098	70984
608	110257	70789
609	110431	70603
610	110613	70423
611	110777	70231
612	110956	70049
613	111136	69867
614	111323	69690
615	111493	69502
616	111665	69315
617	111828	69123
618	111983	68926
619	112144	68733
620	112326	68553
621	112488	68361
622	112665	68177
623	112822	67982
624	112984	67790
625	113152	67602
626	113368	67442
627	113550	67262
628	113731	67081
629	113898	66892
630	114098	66723
631	114350	66583
632	114566	66423
633	114758	66248
634	114945	66071
635	115129	65891
636	115331	65722
637	115516	65543
638	115668	65346
639	115816	65146
640	115983	64957
641	116164	64777
642	116331	64588
643	116504	64403
644	116671	64214
645	116856	64036
646	117038	63855
647	117268	63701
648	117530	63564
649	117751	63404
650	117949	63232
651	118164	63069
652	118350	62890
653	118610	62750
654	118785	62566
655	118956	62379
656	119128	62193
657	119315	62014
658	119486	61828
659	119702	61664
660	119917	61500
661	120128	61334
662	120331	61164
663	120541	60997
664	120744	60825
665	120940	60652
666	121123	60470
667	121298	60286
668	121463	60096
669	121620	59902
670	121849	59744
671	122058	59576
672	122268	59408
673	122463	59233
674	122658	59057
675	122848	58879
676	123074	58719
677	123287	58552
678	123585	58425
679	123780	58249
680	123975	58073
681	124164	57895
682	124379	57728
683	124587	57557
684	124778	57379
685	124962	57198
686	125141	57015
687	125309	56826
688	125500	56648
689	125666	56459
690	125815	56261
691	125970	56067
692	126173	55894
693	126394	55729
694	126577	55548
695	126748	55361
696	126914	55172
697	127094	54989
698	127264	54802
699	127458	54625
700	127660	54451
701	127856	54275
702	128036	54092
703	128222	53911
704	128375	53717
705	128627	53564
706	128808	53381
707	128972	53192
708	129152	53008
709	129341	52829
710	129509	52641
711	129740	52479
712	129944	52305
713	130148	52132
714	130332	51950
715	130540	51778
716	130732	51599
717	130925	51421
718	131103	51237
719	131281	51054
720	131455	50868
721	131622	50680
722	131797	50494
723	131999	50320
724	132208	50148
725	132394	49966
726	132591	49790
727	132797	49616
728	133149	49497
729	133358	49324
730	133554	49146
731	133742	48965
732	133906	48776
733	134118	48604
734	134305	48423
735	134496	48243
736	134677	48059
737	134876	47883
738	135064	47701
739	135239	47516
740	135416	47331
741	135590	47146
742	135760	46958
743	135923	46769
744	136090	46581
745	136255	46392
746	136444	46212
747	136619	46026
748	136782	45837
749	136944	45648
750	137097	45455
751	137254	45264
752	137424	45078
753	137588	44889
754	137762	44704
755	138008	44542
756	138195	44361
757	138368	44175
758	138531	43987
759	138711	43803
760	138886	43618
761	139078	43439
762	139249	43253
763	139413	43064
764	139587	42879
765	139745	42690
766	139906	42500
767	140109	42324
768	140346	42158
769	140534	41977
770	140732	41799
771	140993	41640
772	141241	41477
773	141435	41297
774	141625	41117
